,model_name,precision,recall,f1_score,roc_auc,coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
199,XG Boost Classifier,0.6533437826541275,0.3173656493877292,0.4272110005551522,0.5945461698479508,0.28932053510694583,3,0.1,350,0.8,1.0,2020
200,XG Boost Classifier,0.5931154822335025,0.2547523335831573,0.3564177112625709,0.5337421701196274,0.23756406391317456,3,0.1,350,0.8,1.0,2021
201,XG Boost Classifier,0.5337429492344883,0.3831525668835864,0.4460813199764289,0.5177065702700338,0.3741332529394031,3,0.1,350,0.8,1.0,2022
202,XG Boost Classifier,0.6860043509789703,0.11309025702331142,0.19417077175697867,0.5303474333912596,0.10439456451796056,3,0.1,350,0.8,1.0,2023
203,XG Boost Classifier,0.6015350175887432,0.13416547788873037,0.219396979063393,0.5162355072925103,0.11769798253538091,3,0.1,350,0.8,1.0,2024
204,XG Boost Classifier,0.5835946318826037,0.3518602540834846,0.43902439024390244,0.5501967657165869,0.3127770585696913,3,0.1,350,1.0,0.8,2019
205,XG Boost Classifier,0.6616031466160315,0.3094981282913521,0.4217169534019193,0.6006809258149224,0.2786259541984733,3,0.1,350,1.0,0.8,2020
206,XG Boost Classifier,0.6002937816223274,0.25059617087960756,0.3535858488752163,0.5365036464460454,0.2308938800120591,3,0.1,350,1.0,0.8,2021
207,XG Boost Classifier,0.5312942200936105,0.35292841648590023,0.42412130164660905,0.5120416519134156,0.34620892372625867,3,0.1,350,1.0,0.8,2022
208,XG Boost Classifier,0.7002154509079717,0.13598326359832635,0.2277391260823865,0.5305224459161698,0.12297967371967145,3,0.1,350,1.0,0.8,2023
209,XG Boost Classifier,0.6189604685212299,0.12061340941512126,0.2018863419293219,0.5275422179117495,0.10283047274917194,3,0.1,350,1.0,0.8,2024
210,XG Boost Classifier,0.5643619386393953,0.3839231699939504,0.456975697569757,0.5409086873576336,0.35290886979718333,3,0.1,350,1.0,1.0,2019
211,XG Boost Classifier,0.6493288590604027,0.31920563416026904,0.4280062954613127,0.5898930324047011,0.29279721865316305,3,0.1,350,1.0,1.0,2020
212,XG Boost Classifier,0.5730392969656773,0.23547046399127888,0.3337840448135986,0.5346456570225806,0.22727615315043714,3,0.1,350,1.0,1.0,2021
213,XG Boost Classifier,0.5260416666666666,0.36514822848879247,0.43107127614169866,0.510298352564061,0.36177268616219477,3,0.1,350,1.0,1.0,2022
214,XG Boost Classifier,0.6852358168147642,0.11984459055588763,0.20400895400895402,0.5242815982309849,0.11075362428555206,3,0.1,350,1.0,1.0,2023
215,XG Boost Classifier,0.5992156862745098,0.10898716119828816,0.18442969221484612,0.529257110612509,0.09598012646793135,3,0.1,350,1.0,1.0,2024
216,XG Boost Classifier,0.5936367297623842,0.33439201451905626,0.427804382527935,0.5650417490430579,0.2922207838060492,4,0.03,150,0.8,0.8,2019
217,XG Boost Classifier,0.6063492063492063,0.2423704079690375,0.3463124971669462,0.586716319556598,0.2380772428387877,4,0.03,150,0.8,0.8,2020
218,XG Boost Classifier,0.6032781401572169,0.24575867002793486,0.3492447714949652,0.5372913190780662,0.22531655110039192,4,0.03,150,0.8,0.8,2021
219,XG Boost Classifier,0.5022258195062728,0.26919739696312367,0.3505154639175258,0.5103510374622747,0.27935634609586973,4,0.03,150,0.8,0.8,2022
